,Code,supermarket,fast_food,total_weekly_income,total_private_outdoor_space,rural_urban_settings
200,E02000207,1,0,780.0,364407.5,urban
201,E02000208,0,0,630.0,221683.9,urban
202,E02000209,0,0,810.0,446338.7,urban
203,E02000210,0,1,940.0,298157.9,urban
204,E02000211,1,0,920.0,739723.4,urban
205,E02000212,1,2,730.0,260127.9,urban
206,E02000213,8,0,660.0,219551.8,urban
207,E02000214,1,1,1020.0,422356.9,urban
208,E02000215,1,0,830.0,326622.0,urban
209,E02000216,0,0,1070.0,590049.3,urban
210,E02000217,2,4,820.0,231202.1,urban
211,E02000218,1,0,930.0,490642.1,urban
212,E02000219,2,0,1000.0,1347228.6,urban
213,E02000220,5,9,780.0,276081.0,urban
214,E02000221,1,2,800.0,526334.6,urban
215,E02000222,1,0,1030.0,743035.6,urban
216,E02000223,0,0,670.0,270724.9,urban
217,E02000224,1,2,990.0,488571.9,urban
218,E02000225,1,0,710.0,510895.1,urban
219,E02000226,2,0,1050.0,1172840.6,urban
220,E02000227,0,0,860.0,719590.1,urban
221,E02000228,0,0,1170.0,1468518.5,urban
222,E02000229,0,0,620.0,350937.7,urban
223,E02000230,2,0,1020.0,1238157.0,urban
224,E02000231,0,0,1160.0,2170232.8,urban
225,E02000232,1,0,960.0,905202.7,urban
226,E02000233,0,0,980.0,724085.1,urban
227,E02000234,2,0,1020.0,1087015.2,urban
228,E02000235,0,0,1120.0,1253046.3,urban
229,E02000236,0,0,1130.0,1045098.2,urban
230,E02000237,0,1,890.0,1098937.3,urban
231,E02000238,1,2,880.0,427423.5,urban
232,E02000239,0,0,950.0,470361.5,urban
233,E02000240,0,0,730.0,394236.6,urban
234,E02000241,0,0,900.0,343253.2,urban
235,E02000242,0,0,850.0,291908.7,urban
236,E02000243,2,1,820.0,426448.6,urban
237,E02000244,1,0,920.0,267361.2,urban
238,E02000245,0,1,640.0,194018.2,urban
239,E02000246,1,0,710.0,354391.4,urban
240,E02000247,1,0,740.0,321275.6,urban
241,E02000248,0,0,960.0,388402.9,urban
242,E02000249,2,0,780.0,363047.1,urban
243,E02000250,0,0,1310.0,352217.3,urban
244,E02000251,0,0,890.0,321869.8,urban
245,E02000252,3,1,820.0,230843.9,urban
246,E02000253,0,0,680.0,363110.1,urban
247,E02000254,0,0,850.0,309152.8,urban
248,E02000255,0,0,1040.0,360325.9,urban
249,E02000256,2,0,1140.0,771473.8,urban
250,E02000257,5,7,1140.0,734238.7,urban
251,E02000258,0,0,970.0,298279.4,urban
252,E02000259,0,0,1080.0,277303.1,urban
253,E02000260,1,0,800.0,291540.6,urban
254,E02000261,1,0,850.0,350009.0,urban
255,E02000262,2,1,800.0,207560.3,urban
256,E02000263,0,0,760.0,240886.9,urban
257,E02000264,3,0,1110.0,446243.4,urban
258,E02000265,4,1,830.0,225467.1,urban
259,E02000266,0,0,700.0,348508.2,urban
260,E02000267,1,0,970.0,205281.3,urban
261,E02000268,1,0,1040.0,428655.9,urban
262,E02000269,2,1,1230.0,273490.8,urban
263,E02000270,0,0,680.0,123816.1,urban
264,E02000271,0,1,1390.0,211315.7,urban
