,Code,Msoa_name,education_no_qualifications,lone_parent_unemployed,limited_activity_fam_member,families_with_3plus_kids,health_life_expectancy_at_birth,child_poverty,overcrowded_houses,self_harm_hospital_admission,AvPTAI2015,supermarket,fast_food,total_weekly_income,total_private_outdoor_space
62,E02000064,Barnet 041,16.6,54.7,8.002560819,18.15754339,62.37175,23.6,26.7,46.4,124.61297326203209,0,1,830.0,234983.7
63,E02000065,Bexley 001,17.6,44.5,4.86564049,22.79469165,65.00965,21.3,19.2,24.1,404.875784,0,0,910.0,183815.0
64,E02000066,Bexley 002,24.9,47.8,7.831137849,20.9902371,58.69261,26.7,17.9,35.7,673.3311823529413,0,0,680.0,201935.2
65,E02000067,Bexley 003,23.6,45.1,7.542857143,17.1969697,62.223485,24.5,14.1,42.3,632.1146161616161,3,0,730.0,379711.1
66,E02000068,Bexley 004,22.5,56.2,6.794802382,19.25087108,61.40566,28.0,17.2,107.7,187.7474117647059,1,0,750.0,227180.7
67,E02000069,Bexley 005,25.0,45.1,8.540523087,19.76744186,63.00646,20.2,10.0,51.3,504.2225838926175,0,0,770.0,393536.7
68,E02000070,Bexley 006,23.9,30.9,8.050793651,16.08606557,63.741905,13.5,5.3,24.5,475.7339814814815,0,0,850.0,633633.0
69,E02000071,Bexley 007,23.6,41.1,6.98630137,17.10654936,62.93315,19.7,6.6,38,372.2462113821138,1,0,820.0,454668.9
70,E02000072,Bexley 008,28.3,56.1,7.848985853,20.36474164,57.799435,26.6,17.8,92.2,296.0613617886179,1,0,690.0,480482.9
71,E02000073,Bexley 009,21.9,30.1,6.592689295,17.18972896,67.042085,8.5,3.4,31.9,369.3172209944751,0,0,910.0,850870.8
72,E02000074,Bexley 010,30.2,50.8,9.562377531,16.63516068,60.720915,28.6,9.9,126.3,401.293320754717,0,0,680.0,438404.9
73,E02000075,Bexley 011,22.8,37.9,7.523905385,12.06521739,67.02508,8.2,3.2,19.7,445.59420731707314,0,0,860.0,757382.2
74,E02000077,Bexley 013,24.9,28.0,7.631343474,16.95736434,64.195575,11.0,5.4,29.5,326.600102739726,1,0,850.0,521483.3
75,E02000078,Bexley 014,19.3,34.4,6.14481409,13.71134021,67.00427,10.3,4.3,36.1,464.2792763157895,1,0,910.0,683353.4
76,E02000079,Bexley 015,21.1,30.3,8.188175461,14.16490486,66.575395,13.6,5.8,27,152.5120361930295,5,2,850.0,546725.2
77,E02000080,Bexley 016,24.1,38.6,6.882290562,14.48911223,65.39045,11.3,7.4,19.9,213.98970093457945,4,0,820.0,684040.1
78,E02000081,Bexley 017,25.5,37.2,8.372154931,15.07592191,64.686995,13.7,4.7,64.4,178.0191818181818,0,0,800.0,636379.8
79,E02000082,Bexley 018,21.2,21.9,5.959891843,12.5,67.96003,6.0,4.2,13.8,428.5482083333334,0,1,900.0,662613.9
80,E02000083,Bexley 019,24.0,41.7,7.614369051,19.08339594,65.350695,17.3,6.6,82,410.4125331010453,1,1,790.0,646131.6
81,E02000084,Bexley 020,19.8,29.6,6.070858002,13.46749226,68.031635,7.8,4.2,23.4,560.7234291497975,0,0,920.0,1016168.4
82,E02000085,Bexley 021,23.8,27.3,6.461421513,13.41911765,68.80079,9.1,5.0,41.9,269.67321794871793,1,0,860.0,692456.7
83,E02000086,Bexley 022,19.4,25.6,5.158296943,12.47401247,69.719755,5.5,4.1,31.2,345.0229300699301,0,0,970.0,563515.2
84,E02000087,Bexley 023,18.0,35.2,6.583982056,16.95906433,70.767625,7.0,3.6,30.2,576.700936746988,0,0,980.0,1032825.8
85,E02000088,Bexley 024,20.4,27.5,5.89375727,15.28795812,69.69944,6.2,3.6,25.3,600.5121133333333,0,0,920.0,719505.2
86,E02000089,Bexley 025,20.8,26.5,7.73480663,13.26530612,68.23423,7.3,2.5,31.2,299.61866129032256,0,0,920.0,2364135.9
87,E02000090,Bexley 026,21.5,39.8,9.133623653,10.99020675,69.37551,11.6,8.4,42.3,163.8655186915888,3,0,770.0,609180.3
88,E02000091,Bexley 027,21.2,39.3,8.262755629,14.13953488,69.885855,14.0,10.1,43.9,700.180462962963,0,0,820.0,818646.1
89,E02000092,Bexley 028,28.5,52.7,10.06847183,18.34451902,61.962345,25.5,10.7,107.3,341.4165943937824,1,0,770.0,572596.3
90,E02000093,Brent 001,21.7,51.8,7.332536984,18.48484848,61.782615,12.1,20.7,35.8,344.7231896551724,1,0,880.0,535860.2
91,E02000094,Brent 002,19.9,44.0,6.414360851,21.9876869,64.15902,14.6,21.7,29.1,759.7346205533597,1,0,880.0,391329.2
92,E02000095,Brent 003,21.1,47.2,7.841951416,18.21396994,63.483125,9.5,22.5,22,587.5830045045045,2,4,830.0,491402.4
93,E02000096,Brent 004,15.3,32.1,6.883390366,14.65201465,66.468705,7.6,12.2,28.2,468.7244847161572,1,1,1070.0,734890.0
94,E02000097,Brent 005,20.9,43.2,6.910024559,23.31233123,62.282455,12.3,19.9,42.8,367.2060097087379,0,0,810.0,559713.8
95,E02000098,Brent 006,17.0,38.3,6.885699899,21.20253165,65.252955,14.9,20.4,26.3,420.775707070707,0,0,920.0,557410.8
96,E02000099,Brent 007,16.8,41.5,5.662110945,20.63628547,65.13697,15.7,27.6,15.2,768.5807488986784,1,0,960.0,417375.8
97,E02000100,Brent 008,11.5,28.9,5.484024797,18.91891892,67.303475,8.4,23.0,21.1,376.5099019607843,0,2,1060.0,655834.6
98,E02000101,Brent 009,20.2,46.1,8.272610373,20.78025478,60.89353,20.3,28.5,50.2,244.59363898916965,3,0,730.0,446190.5
99,E02000102,Brent 010,25.7,49.8,7.229998716,31.98458574,59.492465,21.9,31.0,23.8,512.3728846153847,0,1,740.0,267095.0
100,E02000103,Brent 011,22.3,46.8,7.852802935,25.51020408,62.125155,24.4,23.7,22.3,708.3325546875,0,0,760.0,386766.0
101,E02000104,Brent 012,18.3,40.8,8.452785577,19.31216931,64.46479,14.3,21.7,29.8,667.8546474358974,0,0,830.0,409542.0
102,E02000105,Brent 013,17.2,40.7,6.270376005,18.11352254,63.635865,15.3,31.2,29.8,722.1853510204081,2,0,850.0,382739.1
103,E02000106,Brent 014,22.7,55.3,6.616423608,24.62462462,61.909385,22.3,32.6,55.3,307.8479670781893,1,0,780.0,381164.0
104,E02000107,Brent 015,15.9,46.1,5.864197531,17.46724891,61.87851,18.1,34.2,26.1,323.74226470588235,0,11,840.0,355578.8
105,E02000108,Brent 016,17.9,45.1,7.092952612,20.97560976,63.683385,12.2,27.6,22.1,584.5578285714286,0,0,830.0,266030.1
106,E02000109,Brent 017,18.9,44.4,6.964720195,23.69584439,61.713085,14.9,33.1,43.1,486.47337346938775,3,1,820.0,343968.9
107,E02000110,Brent 018,15.1,45.1,6.281686658,20.50970874,60.9301,15.9,24.8,21.9,304.8086071428571,0,0,930.0,289286.3
108,E02000111,Brent 019,20.0,43.8,7.616029442,17.72575251,61.525945,12.8,35.9,25.1,180.37430459770115,0,0,790.0,392236.4
109,E02000112,Brent 020,20.3,41.2,7.061068702,17.99610895,63.332985,15.7,34.1,22.2,263.22147517730497,1,3,780.0,312692.2
110,E02000113,Brent 021,26.3,51.9,8.161574314,28.13536828,55.223225,30.5,36.1,38.7,661.4715472636815,1,1,600.0,232768.4
111,E02000114,Brent 022,15.3,45.3,5.682574917,19.18976546,61.57382,20.9,35.4,24.5,122.7515785440613,2,0,840.0,213923.5
112,E02000115,Brent 023,12.9,41.5,7.326139089,16.13333333,58.607305,20.2,35.0,15.5,135.17369458128078,1,0,830.0,373483.5
113,E02000116,Brent 024,21.8,45.2,6.954495278,18.61313869,59.060795,24.1,40.0,37.1,143.8293510638298,1,0,660.0,136075.6
114,E02000117,Brent 025,25.3,46.4,8.232747856,24.93043962,55.217955,27.4,36.3,42.5,548.3530993150686,0,0,590.0,224593.2
115,E02000118,Brent 026,22.7,45.3,6.811671088,17.44855967,63.20805,12.0,34.0,23,375.5225371900826,0,1,750.0,306795.4
116,E02000119,Brent 027,25.4,47.2,8.761037528,28.71467639,58.563775,24.2,31.8,29.4,599.8194604904633,1,0,620.0,147489.5
117,E02000120,Brent 028,13.0,45.8,6.131973084,14.00233372,59.474345,20.8,32.2,16.3,164.77322916666665,1,0,880.0,154355.4
118,E02000121,Brent 029,21.6,52.2,6.403224001,14.79400749,61.489865,14.1,34.8,21.8,113.80478548895898,1,4,800.0,260771.9
119,E02000122,Brent 030,16.0,38.1,6.820151009,21.19914347,64.08409,13.3,18.7,21.5,502.593829787234,0,0,970.0,3663684.3
120,E02000123,Brent 031,22.5,49.0,6.997758,19.94177584,57.636875,23.6,38.7,26.4,197.3561391843972,1,2,660.0,301508.6
121,E02000124,Brent 032,12.3,41.2,5.625122285,15.85040071,63.694595,14.3,25.9,17.2,198.1894895104895,3,0,1010.0,247805.9
122,E02000125,Brent 033,17.6,42.9,5.862228387,15.09881423,64.334955,15.0,23.2,24.5,344.0835300546448,0,0,910.0,286418.7
123,E02000126,Brent 034,22.4,47.9,8.668810289,25.0,56.723885,32.7,38.5,42.1,263.5019475,0,0,600.0,70148.7
124,E02000127,Bromley 001,27.8,53.2,9.701756454,15.24590164,59.931745,29.0,10.9,44.4,404.7858795811519,1,0,720.0,569032.5
125,E02000128,Bromley 002,18.1,38.8,6.498491911,11.08786611,69.266295,10.0,4.7,41.6,408.6219324431138,1,0,930.0,629503.5
126,E02000130,Bromley 004,14.8,34.7,6.280010109,16.35094716,64.76609,13.3,12.1,69.6,208.3714316037736,3,0,940.0,444612.0
127,E02000131,Bromley 005,13.3,45.4,5.383069019,13.24324324,61.221715,22.4,22.0,32.4,166.65696,1,0,840.0,332195.4
128,E02000132,Bromley 006,14.1,49.8,6.560056029,9.213759214,67.666235,17.0,12.7,30.9,378.5134986072423,4,4,920.0,447597.2
129,E02000133,Bromley 007,11.7,34.3,6.110764106,13.88646288,69.95128,6.5,3.0,34.3,477.8090710382514,0,0,1170.0,2126692.8
130,E02000134,Bromley 008,15.0,41.7,6.711222501,9.42408377,65.91742,13.5,12.5,60.5,305.67063552068475,2,3,890.0,619454.8
131,E02000135,Bromley 009,22.7,49.0,9.266488597,15.44217687,58.24376,31.2,26.0,73.3,237.33770357142856,1,0,600.0,260640.7
132,E02000136,Bromley 010,23.8,55.6,10.50977654,17.27272727,66.791145,17.4,7.9,23.1,314.6623885350319,0,0,820.0,959247.7
133,E02000137,Bromley 011,13.0,39.2,6.74674163,13.47926267,71.843345,6.7,6.4,43.7,319.56409565217393,0,0,1010.0,829324.4
134,E02000138,Bromley 012,11.6,28.4,5.897177419,11.27717391,71.926295,4.9,6.4,36.5,421.156568359375,0,0,1040.0,772849.6
