,Code,supermarket,fast_food,total_weekly_income,total_private_outdoor_space,RUC11,rural_urban_settings
2319,E02002384,0,0,,180835.6,Urban major conurbation,urban
2320,E02002385,0,0,,174025.3,Urban major conurbation,urban
2321,E02002386,0,0,,791180.0,Urban major conurbation,urban
2322,E02002387,0,0,,261872.0,Urban major conurbation,urban
2323,E02002388,0,0,,455368.7,Urban major conurbation,urban
2324,E02002389,0,0,,410357.2,Urban major conurbation,urban
2325,E02002390,0,0,,495380.9,Urban major conurbation,urban
2326,E02002391,0,0,,478363.1,Urban major conurbation,urban
2327,E02002392,0,0,,111739.1,Urban major conurbation,urban
2328,E02002393,0,0,,91471.3,Urban major conurbation,urban
2329,E02002394,0,0,,176174.2,Urban major conurbation,urban
2330,E02002395,0,0,,593529.5,Urban major conurbation,urban
2331,E02002396,0,0,,482274.0,Urban major conurbation,urban
2332,E02002397,0,0,,534957.0,Urban major conurbation,urban
2333,E02002398,0,0,,749428.0,Urban major conurbation,urban
2334,E02002399,0,0,,380613.4,Urban major conurbation,urban
2335,E02002400,0,0,,179616.6,Urban major conurbation,urban
2336,E02002401,0,0,,445859.6,Urban major conurbation,urban
2337,E02002402,0,0,,569138.9,Urban major conurbation,urban
2338,E02002403,0,0,,573212.5,Urban city and town,urban
2339,E02002404,0,0,,174078.9,Urban major conurbation,urban
2340,E02002405,0,0,,773246.3,Urban major conurbation,urban
2341,E02002406,0,0,,657518.1,Urban city and town,urban
2342,E02002407,0,0,,311925.8,Urban major conurbation,urban
2343,E02002408,0,0,,551904.6,Urban major conurbation,urban
2344,E02002409,0,0,,524646.0,Urban major conurbation,urban
2345,E02002410,0,0,,414418.4,Urban major conurbation,urban
2346,E02002411,0,0,,146447.3,Urban major conurbation,urban
2347,E02002412,0,0,,490731.1,Urban major conurbation,urban
2348,E02002414,0,0,,141303.1,Urban major conurbation,urban
2349,E02002415,0,0,,88125.6,Urban major conurbation,urban
2350,E02002416,0,0,,910969.8,Rural town and fringe,rural
2351,E02002417,0,0,,741659.9,Urban city and town,urban
